basin_id,NSE,KGE,RMSE,Corr,FHV,FLV,source_file
1162500,0.0124042630195617,-0.1052359375542353,2.2641725540161133,0.3345880508422851,-83.49301147460938,181.8580322265625,metric_streamflow.csv
1169000,0.0540648698806762,-0.0869322311186475,2.9144649505615234,0.4027374982833862,-87.3177490234375,194.6604766845703,metric_streamflow.csv
1170100,0.0587464570999145,-0.0792157459595979,2.7631924152374268,0.4037938416004181,-86.46978759765625,211.0297698974609,metric_streamflow.csv
1181000,0.0116854310035705,-0.1422618885860882,3.008625268936157,0.3200693726539612,-87.25086212158203,127.08985900878906,metric_streamflow.csv
1187300,-0.0161676406860351,-0.2144884975237386,3.5268988609313965,0.2486255317926406,-88.83455657958984,104.29464721679688,metric_streamflow.csv
1195100,0.0598606467247009,-0.0350035721682606,2.3446133136749268,0.3576750159263611,-80.32130432128906,112.44801330566406,metric_streamflow.csv
1333000,0.0869287848472595,-0.0293539877904263,2.039236307144165,0.3345422148704529,-79.23370361328125,179.88975524902344,metric_streamflow.csv
1350000,0.0175351500511169,-0.1996567669931912,3.749000310897827,0.2437364608049392,-89.75199890136719,288.36358642578125,metric_streamflow.csv
1350080,0.0035833716392517,-0.212398091247032,2.6516058444976807,0.2318164855241775,-88.77815246582031,297.6139831542969,metric_streamflow.csv
1350140,0.0096621513366699,-0.1895816615043462,2.557176113128662,0.2056789994239807,-86.67339324951172,354.1636657714844,metric_streamflow.csv
1365000,0.0514628887176513,-0.09443120178182,3.2869551181793213,0.3410302996635437,-85.33233642578125,142.60772705078125,metric_streamflow.csv
1411300,0.0204091668128967,-0.0823648812528838,1.2984639406204224,0.3370493352413177,-79.46300506591797,34.016815185546875,metric_streamflow.csv
1413500,0.0325741171836853,-0.1392404917929495,2.8508572578430176,0.2794382870197296,-86.0350112915039,217.57542419433597,metric_streamflow.csv
1414500,0.0421584248542785,-0.1210258569620121,3.115771532058716,0.313513696193695,-86.13192749023438,192.5654754638672,metric_streamflow.csv
1415000,0.0465672016143798,-0.1002184704727515,2.395789623260498,0.3027395904064178,-83.82254028320312,208.65042114257807,metric_streamflow.csv
1423000,0.0473324656486511,-0.101020981699442,2.437795877456665,0.2824209928512573,-83.20077514648438,239.1693878173828,metric_streamflow.csv
1434025,0.0147543549537658,-0.1532947826670998,4.22705078125,0.3649963140487671,-89.6490478515625,144.1090545654297,metric_streamflow.csv
1435000,0.0339269638061523,-0.1396991023488829,4.27284574508667,0.3335289359092712,-88.38880920410156,125.3886947631836,metric_streamflow.csv
1439500,0.1013231873512268,0.0271230427917038,2.077371597290039,0.3506276607513428,-75.65830993652344,175.1151123046875,metric_streamflow.csv
